CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,Cluster,GPI,GPI_Rank,Cluster_Label
Burgers,25260,Classic Burgers Cafe,Full-service,West Auckland,1.04,32.34,2051,616,20891.64,632,351,422.0,20438.88,11351.34,13647.48,0.373705843,0.465107345,0.28,13,3.84,1620.48,3367.46,-2428.41,-1348.69,579.31,0.46,0.45,0.25,0.3,0,0.30950058582580775,496.0,High-Growth
Burgers,25452,Lucky Burgers Kitchen,Cafe,CBD,1.0,30.92,1308,324,10018.08,443,246,295.0,13697.56,7606.32,9121.4,0.230996016,0.373214837,0.31,11,3.25,958.75,3965.05,1175.1,652.54,2651.4,0.33,0.45,0.25,0.3,2,-0.5666473031376125,1463.0,Dependent Low Margin
Burgers,25319,King Burgers Diner,Cafe,West Auckland,1.04,45.6,799,184,8390.4,277,154,184.0,12631.2,7022.4,8390.4,0.279372675,0.399700685,0.29,15,4.43,815.12,2692.7,390.64,217.18,1877.58,0.3,0.45,0.25,0.3,1,0.25295950499265063,559.0,Stable Performers
Burgers,25132,Lucky Burgers Tavern,Ghost Kitchen,CBD,1.0,36.56,897,42,1535.52,385,214,256.0,14075.6,7823.84,9359.36,0.294071698,0.265251148,0.3,18,5.31,1359.36,676.67,1980.12,1100.64,2765.1,0.05,0.45,0.25,0.3,1,-0.46617507738844033,1400.0,Stable Performers
Burgers,26489,Classic Burgers Cafe,Cafe,West Auckland,1.04,36.49,1640,468,17077.32,527,293,352.0,19230.23,10691.57,12844.48,0.22605615,0.371622992,0.3,16,4.72,1661.44,5436.3550000000005,1967.65,1093.97,3506.16,0.4,0.45,0.25,0.3,2,0.5532546254396632,188.0,Dependent Low Margin
Burgers,25040,Lucky Burgers Grill,QSR,North Shore,1.03,41.72,1452,299,12474.28,519,288,346.0,21652.68,12015.36,14435.12,0.248099703,0.389124023,0.32,18,5.31,1837.26,4525.37,926.22,513.97,3399.46,0.26,0.45,0.25,0.3,2,0.36306214148445787,421.0,Dependent Low Margin
Burgers,25502,Top Burgers Grill,Cafe,West Auckland,1.04,34.21,899,207,7081.47,311,173,208.0,10639.31,5918.33,7115.68,0.247309529,0.350396152,0.31,3,0.89,185.12,2848.84,981.95,546.23,2677.48,0.3,0.45,0.25,0.3,1,-0.1373539990887781,1086.0,Stable Performers
Burgers,25889,Top Burgers Bistro,QSR,North Shore,1.03,40.18,1334,231,9281.58,496,276,331.0,19929.28,11089.68,13299.58,0.238772939,0.433020328,0.31,17,5.02,1661.62,3046.28,362.85,201.91,2703.39,0.21,0.45,0.25,0.3,2,0.21178981724018442,603.0,Dependent Low Margin
Burgers,25283,Urban Burgers Grill,Cafe,South Auckland,1.05,42.16,571,151,6366.16,189,105,126.0,7968.24,4426.8,5312.16,0.276084447,0.441550264,0.29,4,1.18,148.68,1797.58,-60.84,-33.8,1351.29,0.36,0.45,0.25,0.3,1,-0.011144449581023647,932.0,Stable Performers
Burgers,25366,Classic Burgers Tavern,Full-service,West Auckland,1.04,45.99,701,214,9841.86,219,122,146.0,10071.81,5610.78,6714.54,0.392565074,0.450436521,0.27,4,1.18,172.28,1545.16,-1138.13,-634.03,881.89,0.44,0.45,0.25,0.3,1,-0.11137703251944592,1052.0,Stable Performers
Burgers,25247,Lucky Burgers Kitchen,Cafe,South Auckland,1.05,34.73,1151,304,10557.92,381,212,254.0,13232.13,7362.76,8821.42,0.201390176,0.416730786,0.31,5,1.48,375.92,4031.85,951.11,529.23,2992.8,0.36,0.45,0.25,0.3,2,0.1932909726840053,636.0,Dependent Low Margin
Burgers,25004,King Burgers Cafe,Ghost Kitchen,South Auckland,1.05,34.64,1629,106,3671.84,685,381,457.0,23728.4,13197.84,15830.48,0.259387835,0.336022477,0.32,18,5.31,1974.58125,1485.59,2007.18,1116.4,3978.18,0.07,0.45,0.25,0.3,2,0.6073660089839923,142.0,Dependent Low Margin
Burgers,25853,Classic Burgers Tavern,Ghost Kitchen,CBD,1.0,31.34,1519,72,2256.48,651,362,434.0,20402.34,11345.08,13601.56,0.272829318,0.31957067,0.32,5,1.48,642.32,919.74,1787.25,993.83,4901.68,0.05,0.45,0.25,0.3,2,-0.5137487039827512,1422.0,Dependent Low Margin
Burgers,25005,Classic Burgers Bistro,Ghost Kitchen,South Auckland,1.05,39.35,1305,85,3344.75,549,305,366.0,21603.15,12001.75,14402.1,0.285651653,0.280214195,0.3,9,2.66,973.56,1452.07,2897.72,1609.84,5278.88,0.07,0.45,0.25,0.3,2,0.5668472269217436,175.0,Dependent Low Margin
Burgers,25077,Lucky Burgers House,Cafe,CBD,1.0,39.76,1641,378,15029.28,568,316,379.0,22583.68,12564.16,15069.04,0.211968362,0.366120141,0.31,14,4.13,1565.27,5436.3550000000005,2527.37,1406.07,4792.53,0.3,0.45,0.25,0.3,2,0.0016525041114574812,910.0,Dependent Low Margin
Burgers,25856,Top Burgers Cafe,Cafe,West Auckland,1.04,34.59,1501,328,11345.52,528,293,352.0,18263.52,10134.87,12175.68,0.212431895,0.353694221,0.3,8,2.36,830.72,4922.52,2445.01,1356.79,4451.99,0.28,0.45,0.25,0.3,2,0.36649245824632026,413.0,Dependent Low Margin
Burgers,25886,Urban Burgers Bistro,Ghost Kitchen,South Auckland,1.05,35.87,1180,77,2761.99,496,276,331.0,17791.52,9900.12,11872.97,0.25488461,0.256033067,0.32,17,5.02,1661.62,1350.84,3008.23,1673.94,4145.24,0.07,0.45,0.25,0.3,2,0.49148933355289487,252.0,Dependent Low Margin
Burgers,25133,Top Burgers Corner,Full-service,South Auckland,1.05,44.46,2051,616,23020.373750000002,637,354,424.0,28321.02,15738.84,18851.04,0.386117483,0.498271016,0.27,12,3.54,1500.96,3269.1,-4372.44,-2429.9,678.44,0.45,0.45,0.25,0.3,0,0.8283003916982611,40.0,High-Growth
Burgers,25377,Lucky Burgers Bistro,Full-service,South Auckland,1.05,39.78,1449,442,17582.76,453,252,302.0,18020.34,10024.56,12013.56,0.380261697,0.519352306,0.28,4,1.18,356.36,1765.06,-3236.71,-1800.55,849.63,0.44,0.45,0.25,0.3,0,0.17861632416316936,658.0,High-Growth
Burgers,25245,Lucky Burgers Cafe,QSR,North Shore,1.03,43.22,1634,294,12706.68,603,335,402.0,26061.66,14478.7,17374.44,0.241746065,0.40828571,0.32,3,0.89,357.78,4446.93,781.02,433.9,5722.72,0.22,0.45,0.25,0.3,2,0.340141448667841,453.0,Dependent Low Margin
Burgers,25861,Classic Burgers Diner,Cafe,West Auckland,1.04,38.26,1934,490,18747.4,650,361,433.0,24869.0,13811.86,16566.58,0.236518039,0.380630135,0.28,13,3.84,1662.72,5436.3550000000005,2557.82,1420.58,4679.83,0.34,0.45,0.25,0.3,2,0.7801816891563199,51.0,Dependent Low Margin
Burgers,25257,King Burgers Bistro,QSR,South Auckland,1.05,44.28,1873,350,15498.0,685,381,457.0,30331.8,16870.68,20235.96,0.216959699,0.412135698,0.3,9,2.66,1215.62,5436.3550000000005,2150.66,1196.21,6276.405000000001,0.23,0.45,0.25,0.3,2,0.9951350441791728,10.0,Dependent Low Margin
Burgers,25378,King Burgers Cafe,QSR,North Shore,1.03,37.56,1595,298,11192.88,584,324,389.0,21935.04,12169.44,14610.84,0.232022813,0.378713313,0.32,10,2.95,1147.55,4356.98,1519.31,842.9,4539.92,0.23,0.45,0.25,0.3,2,0.2606565419098289,548.0,Dependent Low Margin
Burgers,26108,King Burgers House,Ghost Kitchen,North Shore,1.03,44.4,668,60,2664.0,274,152,182.0,12165.6,6748.8,8080.8,0.253680309,0.260938313,0.33,11,3.25,591.5,1293.06,1890.31,1048.64,3330.77,0.1,0.45,0.25,0.3,1,0.05521730755444178,841.0,Stable Performers
Burgers,25501,Classic Burgers Eatery,Cafe,South Auckland,1.05,39.67,1315,395,15669.65,414,230,276.0,16423.38,9124.1,10948.92,0.254867387,0.375745487,0.3,7,2.07,571.32,5436.3550000000005,1139.57,633.1,3473.07,0.43,0.45,0.25,0.3,2,0.47736207156546584,271.0,Dependent Low Margin
Burgers,26230,Top Burgers Kitchen,Cafe,CBD,1.0,42.19,1387,374,15779.06,456,253,304.0,19238.64,10674.07,12825.76,0.207379126,0.384480269,0.3,15,4.43,1346.72,5436.3550000000005,2080.48,1154.3,3887.99,0.37,0.45,0.25,0.3,2,-0.04646018357734952,976.0,Dependent Low Margin
Burgers,26313,Classic Burgers Diner,Full-service,South Auckland,1.05,36.32,604,166,6029.12,197,110,131.0,7155.04,3995.2,4757.92,0.393435937,0.505011982,0.3,12,3.54,463.74,612.27,-1419.9,-792.84,19.44,0.38,0.45,0.25,0.3,1,-0.4073784741125396,1358.0,Stable Performers
Burgers,25775,Lucky Burgers Tavern,QSR,South Auckland,1.05,36.5,1366,273,9964.5,492,273,328.0,17958.0,9964.5,11972.0,0.202122342,0.395233107,0.29,3,0.89,291.92,4012.15,2022.87,1122.45,4528.54,0.25,0.45,0.25,0.3,2,0.44298721540702557,309.0,Dependent Low Margin
Burgers,26274,Urban Burgers Bistro,Cafe,West Auckland,1.04,43.42,1527,352,15283.84,529,294,352.0,22969.18,12765.48,15283.84,0.220944037,0.393518742,0.31,7,2.07,728.64,5436.3550000000005,1735.03,964.27,5163.85,0.3,0.45,0.25,0.3,2,0.5704382660265713,171.0,Dependent Low Margin
Burgers,26100,Urban Burgers House,QSR,South Auckland,1.05,42.81,1119,216,9246.96,406,226,271.0,17380.86,9675.06,11601.51,0.232086843,0.351238824,0.32,6,1.77,479.67,3852.97,1680.28,935.33,4354.38,0.24,0.45,0.25,0.3,2,0.47149546955027694,277.0,Dependent Low Margin
Burgers,25779,Classic Burgers Grill,Full-service,CBD,1.0,34.31,1833,616,22027.02,536,298,357.0,18390.16,10224.38,12248.67,0.366821484,0.451014979,0.28,5,1.48,528.36,4012.52,-1799.23,-1000.32,1702.9,0.54,0.45,0.25,0.3,0,-0.4530545660620151,1387.0,High-Growth
Burgers,26101,King Burgers Tavern,Full-service,CBD,1.0,32.18,597,164,5277.52,195,108,130.0,6275.1,3475.44,4183.4,0.378334257,0.516466749,0.33,18,5.31,690.3,555.19,-1410.65,-781.28,-250.21,0.38,0.45,0.25,0.3,1,-1.363957093187251,1695.0,Stable Performers
Burgers,25053,King Burgers Tavern,Full-service,West Auckland,1.04,33.51,1661,499,16721.49,523,290,349.0,17525.73,9717.9,11694.99,0.396553314,0.485376675,0.28,12,3.54,1235.46,1974.31,-2837.94,-1573.62,145.37,0.43,0.45,0.25,0.3,0,0.04151386009051152,858.0,High-Growth
Burgers,25631,Classic Burgers Grill,Full-service,South Auckland,1.05,36.33,1499,525,19073.25,438,244,292.0,15912.54,8864.52,10608.36,0.372706735,0.524310494,0.28,12,3.54,1033.68,1964.22,-2816.79,-1569.17,58.8,0.54,0.45,0.25,0.3,0,0.18517878119002634,650.0,High-Growth
Burgers,26360,Urban Burgers Bistro,Cafe,North Shore,1.03,44.7,1528,361,16136.7,525,292,350.0,23467.5,13052.4,15645.0,0.26732464,0.437447388,0.33,12,3.54,1239.0,4764.01,-816.01,-453.86,3379.84,0.31,0.45,0.25,0.3,2,0.31565037004178675,489.0,Dependent Low Margin
Burgers,26079,Top Burgers Eatery,Cafe,CBD,1.0,43.28,562,166,7184.48,178,99,119.0,7703.84,4284.72,5150.32,0.243581773,0.436767387,0.31,14,4.13,491.47,2296.53,74.35,41.35,1154.83,0.42,0.45,0.25,0.3,1,-0.6691771217283464,1519.0,Stable Performers
Burgers,25111,Classic Burgers Kitchen,Ghost Kitchen,South Auckland,1.05,46.57,1487,122,5681.54,614,341,410.0,28593.98,15880.37,19093.7,0.297469939,0.321676252,0.29,13,3.84,1574.4,2163.84,2597.87,1442.79,5697.51,0.09,0.45,0.25,0.3,2,0.9119762211465215,23.0,Dependent Low Margin
Burgers,25595,Top Burgers Kitchen,QSR,West Auckland,1.04,37.61,1276,271,10192.31,452,251,302.0,16999.72,9440.11,11358.22,0.218210295,0.373063065,0.3,14,4.13,1247.26,4165.87,1848.32,1026.39,3395.15,0.27,0.45,0.25,0.3,2,0.364152436090866,419.0,Dependent Low Margin
Burgers,25881,Lucky Burgers Diner,QSR,CBD,1.0,36.87,1197,199,7337.13,449,250,299.0,16554.63,9217.5,11024.13,0.20185687,0.401524103,0.28,15,4.43,1324.57,2910.05,1930.58,1074.94,3047.81,0.2,0.45,0.25,0.3,2,-0.29715697695872606,1244.0,Dependent Low Margin
Burgers,26244,Urban Burgers House,Cafe,West Auckland,1.04,34.3,1728,356,12210.8,617,343,412.0,21163.1,11764.9,14131.6,0.242821231,0.435210465,0.33,17,5.02,1974.58125,3931.49,-169.98,-94.49,2481.69,0.26,0.45,0.25,0.3,2,0.3425579944662114,447.0,Dependent Low Margin
Burgers,26245,Classic Burgers Corner,Full-service,North Shore,1.03,35.96,697,226,8126.96,212,118,141.0,7623.52,4243.28,5070.36,0.369292362,0.529286201,0.29,6,1.77,249.57,824.25,-1437.63,-800.19,264.67,0.48,0.45,0.25,0.3,1,-0.7187833683087642,1551.0,Stable Performers
Burgers,26490,Classic Burgers Eatery,Full-service,West Auckland,1.04,41.27,1437,485,20015.95,428,238,286.0,17663.56,9822.26,11803.22,0.381961006,0.502269129,0.32,14,4.13,1181.18,2317.24,-3607.43,-2006.0,185.28,0.51,0.45,0.25,0.3,0,0.08026764284700323,806.0,High-Growth
Burgers,25400,Top Burgers Corner,Ghost Kitchen,West Auckland,1.04,44.01,1458,95,4180.95,613,341,409.0,26978.13,15007.41,18000.09,0.287121943,0.263713604,0.29,14,4.13,1689.17,1877.93,4293.96,2388.65,6276.405000000001,0.07,0.45,0.25,0.3,2,0.7570268842075665,60.0,Dependent Low Margin
Burgers,26532,King Burgers House,Full-service,North Shore,1.03,34.87,2227,616,23020.373750000002,677,376,452.0,23606.99,13111.12,15761.24,0.383675678,0.470021477,0.31,8,2.36,1066.72,3683.34,-3864.4,-2146.25,1239.19,0.48,0.45,0.25,0.3,0,0.1765334938359746,660.0,High-Growth
Burgers,25267,King Burgers Kitchen,Cafe,West Auckland,1.04,35.82,818,238,8525.16,261,145,174.0,9349.02,5193.9,6232.68,0.210430281,0.436889241,0.28,4,1.18,205.32,3006.66,679.49,377.5,1992.82,0.41,0.45,0.25,0.3,1,-0.09817037826032773,1038.0,Stable Performers
Burgers,25119,Classic Burgers Eatery,Cafe,CBD,1.0,33.49,1265,253,8472.97,455,253,304.0,15237.95,8472.97,10180.96,0.238450532,0.443626348,0.3,5,1.48,449.92,2693.75,273.11,151.86,2786.84,0.25,0.45,0.25,0.3,2,-0.6544707377979556,1507.0,Dependent Low Margin
Burgers,26494,Top Burgers House,Full-service,CBD,1.0,41.87,1466,475,19888.25,446,248,297.0,18674.02,10383.76,12435.39,0.387959812,0.479524136,0.31,11,3.25,965.25,2635.51,-3314.34,-1842.95,682.64,0.48,0.45,0.25,0.3,0,-0.508106639540692,1420.0,High-Growth
Burgers,25161,Top Burgers Corner,Cafe,West Auckland,1.04,40.42,1119,319,12893.98,360,200,240.0,14551.2,8084.0,9700.8,0.279486142,0.420557478,0.3,13,3.84,921.6,3867.63,-0.63,-0.35,1988.22,0.4,0.45,0.25,0.3,2,0.1888561012857085,645.0,Dependent Low Margin
Burgers,26214,Urban Burgers Corner,Cafe,CBD,1.0,37.88,1694,370,14015.6,596,331,397.0,22576.48,12538.28,15038.36,0.258535533,0.35665085,0.33,18,5.31,1974.58125,5393.39,1237.5,687.27,3678.9,0.28,0.45,0.25,0.3,2,-0.10425705065502483,1043.0,Dependent Low Margin
Burgers,25528,Lucky Burgers Bistro,QSR,North Shore,1.03,36.79,1652,361,13281.19,581,323,387.0,21374.99,11883.17,14237.73,0.204108449,0.449127486,0.28,10,2.95,1141.65,4605.44,1427.08,793.37,3795.48,0.28,0.45,0.25,0.3,2,0.32644623937655354,472.0,Dependent Low Margin
Burgers,25973,King Burgers Kitchen,Full-service,West Auckland,1.04,37.44,591,153,5728.32,197,110,131.0,7375.68,4118.4,4904.64,0.372759494,0.487910197,0.27,13,3.84,503.04,798.13,-963.78,-538.15,180.33,0.35,0.45,0.25,0.3,1,-0.3859808360864606,1330.0,Stable Performers
Burgers,25730,Top Burgers Eatery,QSR,CBD,1.0,39.64,1809,395,15657.8,636,354,424.0,25211.04,14032.56,16807.36,0.239658871,0.433120137,0.32,5,1.48,627.52,5123.56,182.05,101.33,4872.2,0.28,0.45,0.25,0.3,2,-0.1684255872173735,1112.0,Dependent Low Margin
Burgers,26135,King Burgers Tavern,Full-service,CBD,1.0,34.74,1202,395,13722.3,363,202,242.0,12610.62,7017.48,8407.08,0.380201765,0.464409941,0.31,18,5.31,1285.02,2132.28,-1949.75,-1084.98,21.34,0.49,0.45,0.25,0.3,0,-0.793756773190886,1590.0,High-Growth
Burgers,26380,Classic Burgers Tavern,Full-service,CBD,1.0,39.01,1834,505,19700.05,598,332,399.0,23327.98,12951.32,15564.99,0.393061459,0.511228195,0.28,11,3.25,1296.75,1885.5,-4299.11,-2386.79,192.98,0.38,0.45,0.25,0.3,0,-0.35552018475542646,1305.0,High-Growth
Burgers,25895,Top Burgers Corner,Full-service,West Auckland,1.04,46.39,1073,376,17442.64,314,174,209.0,14566.46,8071.86,9695.51,0.377299416,0.47225636,0.31,6,1.77,369.93,2624.14,-2324.16,-1287.91,1088.7,0.54,0.45,0.25,0.3,0,0.02681619472322498,876.0,High-Growth
Burgers,25330,Urban Burgers Tavern,Ghost Kitchen,North Shore,1.03,44.91,1161,65,2919.15,493,274,329.0,22140.63,12305.34,14775.39,0.262536823,0.24523503737500002,0.27,17,5.02,1651.58,1447.43,5000.22,2779.03,5674.64,0.06,0.45,0.25,0.3,2,0.6051698436228704,143.0,Dependent Low Margin
Burgers,25170,Lucky Burgers Tavern,QSR,West Auckland,1.04,46.04,1530,334,15377.36,538,299,359.0,24769.52,13765.96,16528.36,0.217860503,0.394324672,0.29,12,3.54,1270.86,5436.3550000000005,2422.83,1346.51,5139.08,0.28,0.45,0.25,0.3,2,0.7748684626461805,54.0,Dependent Low Margin
Burgers,25442,Classic Burgers Grill,Cafe,West Auckland,1.04,43.24,1155,318,13750.32,377,209,251.0,16301.48,9037.16,10853.24,0.264888013,0.398093697,0.3,4,1.18,296.18,4634.11,603.45,334.54,3361.56,0.38,0.45,0.25,0.3,2,0.26150037588612896,546.0,Dependent Low Margin
Burgers,26588,Lucky Burgers Corner,Cafe,West Auckland,1.04,38.95,2083,540,21033.0,694,386,463.0,27031.3,15034.7,18033.85,0.24857624,0.371197632,0.33,10,2.95,1365.85,5436.3550000000005,1357.68,755.13,5491.09,0.35,0.45,0.25,0.3,2,0.7129583562251419,86.0,Dependent Low Margin
Burgers,25294,Lucky Burgers Tavern,Ghost Kitchen,CBD,1.0,34.43,998,82,2823.26,412,229,275.0,14185.16,7884.47,9468.25,0.262558715,0.24523503737500002,0.33,9,2.66,731.5,1497.57,2843.28,1580.37,4290.85,0.09,0.45,0.25,0.3,1,-0.5813129147452176,1470.0,Stable Performers
Burgers,25174,Classic Burgers Corner,Full-service,North Shore,1.03,33.99,1728,544,18490.56,533,296,355.0,18116.67,10061.04,12066.45,0.383637686,0.547367854,0.32,15,4.43,1572.65,1275.75,-4547.38,-2525.38,-740.13,0.46,0.45,0.25,0.3,0,-0.20815270904564892,1151.0,High-Growth
Burgers,25376,Top Burgers House,Ghost Kitchen,South Auckland,1.05,43.85,1531,100,4385.0,644,358,429.0,28239.4,15698.3,18811.65,0.29566688,0.349170912,0.29,16,4.72,1974.58125,1557.39,1840.14,1022.94,4656.31,0.07,0.45,0.25,0.3,2,0.8437482940208727,37.0,Dependent Low Margin
Burgers,25418,Top Burgers Eatery,Cafe,North Shore,1.03,43.29,1941,593,23020.373750000002,607,337,404.0,26277.03,14588.73,17489.16,0.239532026,0.372590852,0.27,6,1.77,715.08,5436.3550000000005,3097.46,1719.68,6068.57,0.44,0.45,0.25,0.3,2,0.7503429152087339,65.0,Dependent Low Margin
Burgers,25015,Lucky Burgers Grill,QSR,CBD,1.0,34.71,1299,276,9579.96,460,256,307.0,15966.6,8885.76,10655.97,0.221846213,0.446916462,0.32,3,0.89,273.23,3173.24,179.42,99.85,3256.42,0.27,0.45,0.25,0.3,2,-0.6487411823879455,1504.0,Dependent Low Margin
Burgers,26027,Urban Burgers Bistro,Cafe,West Auckland,1.04,38.25,1123,303,11589.75,369,205,246.0,14114.25,7841.25,9409.5,0.243503914,0.423347631,0.3,13,3.84,944.64,3861.11,467.87,259.93,2190.12,0.37,0.45,0.25,0.3,2,0.17257310770994677,664.0,Dependent Low Margin
Burgers,26391,Classic Burgers Bistro,Ghost Kitchen,North Shore,1.03,43.92,805,45,1976.4,342,190,228.0,15020.64,8344.8,10013.76,0.295922064,0.24523503737500002,0.28,14,4.13,941.64,931.22,2871.53,1595.29,3776.56,0.06,0.45,0.25,0.3,1,0.24618887662988986,568.0,Stable Performers
Burgers,26514,Lucky Burgers Corner,QSR,West Auckland,1.04,36.38,638,106,3856.28,239,133,160.0,8694.82,4838.54,5820.8,0.248522783,0.386922581,0.31,17,5.02,803.2,1405.82,474.34,263.96,1318.8,0.2,0.45,0.25,0.3,1,-0.118538815603028,1061.0,Stable Performers
Burgers,26677,Top Burgers Tavern,Cafe,South Auckland,1.05,34.3,1342,333,11421.9,454,252,303.0,15572.2,8643.6,10392.9,0.216553137,0.409603461,0.29,13,3.84,1163.52,4270.0,1305.63,724.71,2721.8,0.33,0.45,0.25,0.3,2,0.4209107809133587,349.0,Dependent Low Margin
